tanggal,provinsi,komoditas,harga
2021-06-02,Banten,Cabai,40170.0
2021-06-03,Banten,Cabai,40170.0
2021-06-04,Banten,Cabai,40198.0
2021-06-05,Banten,Cabai,39746.0
2021-06-06,Banten,Cabai,40519.0
2021-06-07,Banten,Cabai,40630.0
2021-06-08,Banten,Cabai,39949.0
2021-06-09,Banten,Cabai,40145.0
2021-06-10,Banten,Cabai,39565.0
2021-06-11,Banten,Cabai,39821.0
2021-06-12,Banten,Cabai,40253.0
2021-06-13,Banten,Cabai,39744.0
2021-06-14,Banten,Cabai,40081.0
2021-06-15,Banten,Cabai,40157.0
2021-06-16,Banten,Cabai,40426.0
2021-06-17,Banten,Cabai,41205.0
2021-06-18,Banten,Cabai,40965.0
2021-06-19,Banten,Cabai,40484.0
2021-06-20,Banten,Cabai,39938.0
2021-06-21,Banten,Cabai,39426.0
2021-06-22,Banten,Cabai,39265.0
2021-06-23,Banten,Cabai,39302.0
2021-06-24,Banten,Cabai,39308.0
2021-06-25,Banten,Cabai,39575.0
2021-06-26,Banten,Cabai,39455.0
2021-06-27,Banten,Cabai,40019.0
2021-06-28,Banten,Cabai,39767.0
2021-06-29,Banten,Cabai,40932.0
2021-06-30,Banten,Cabai,41103.0
2021-07-01,Banten,Cabai,40569.0
2021-07-02,Banten,Cabai,39933.0
2021-07-03,Banten,Cabai,40035.0
2021-07-04,Banten,Cabai,39802.0
2021-07-05,Banten,Cabai,40014.0
2021-07-06,Banten,Cabai,40112.0
2021-07-07,Banten,Cabai,39951.0
2021-07-08,Banten,Cabai,39422.0
2021-07-09,Banten,Cabai,38576.0
2021-07-10,Banten,Cabai,38238.0
2021-07-11,Banten,Cabai,38519.0
2021-07-12,Banten,Cabai,38495.0
2021-07-13,Banten,Cabai,37778.0
2021-07-14,Banten,Cabai,37736.0
2021-07-15,Banten,Cabai,37794.0
2021-07-16,Banten,Cabai,37251.0
2021-07-17,Banten,Cabai,37200.0
2021-07-18,Banten,Cabai,37105.0
2021-07-19,Banten,Cabai,36440.0
2021-07-20,Banten,Cabai,36488.0
2021-07-21,Banten,Cabai,36634.0
2021-07-22,Banten,Cabai,37028.0
2021-07-23,Banten,Cabai,37409.0
2021-07-24,Banten,Cabai,36636.0
2021-07-25,Banten,Cabai,36072.0
2021-07-26,Banten,Cabai,36200.0
2021-07-27,Banten,Cabai,36327.0
2021-07-28,Banten,Cabai,36457.0
2021-07-29,Banten,Cabai,38172.0
2021-07-30,Banten,Cabai,38330.0
2021-07-31,Banten,Cabai,38757.0
2021-08-01,Banten,Cabai,39099.0
2021-08-02,Banten,Cabai,39298.0
2021-08-03,Banten,Cabai,39039.0
2021-08-04,Banten,Cabai,39291.0
2021-08-05,Banten,Cabai,38817.0
2021-08-06,Banten,Cabai,38599.0
2021-08-07,Banten,Cabai,38264.0
2021-08-08,Banten,Cabai,38200.0
2021-08-09,Banten,Cabai,39197.0
2021-08-10,Banten,Cabai,38210.0
2021-08-11,Banten,Cabai,38436.0
2021-08-12,Banten,Cabai,37572.0
2021-08-13,Banten,Cabai,37252.0
2021-08-14,Banten,Cabai,37674.0
2021-08-15,Banten,Cabai,37611.0
2021-08-16,Banten,Cabai,37007.0
2021-08-17,Banten,Cabai,36577.0
2021-08-18,Banten,Cabai,36811.0
2021-08-19,Banten,Cabai,36377.0
2021-08-20,Banten,Cabai,36394.0
2021-08-21,Banten,Cabai,36331.0
2021-08-22,Banten,Cabai,35940.0
2021-08-23,Banten,Cabai,36877.0
2021-08-24,Banten,Cabai,37099.0
2021-08-25,Banten,Cabai,36060.0
2021-08-26,Banten,Cabai,36073.0
2021-08-27,Banten,Cabai,35685.0
2021-08-28,Banten,Cabai,36018.0
2021-08-29,Banten,Cabai,35572.0
2021-08-30,Banten,Cabai,35449.0
2021-08-31,Banten,Cabai,35623.0
2021-09-01,Banten,Cabai,35970.0
2021-09-02,Banten,Cabai,35337.0
2021-09-03,Banten,Cabai,35117.0
2021-09-04,Banten,Cabai,34833.0
2021-09-05,Banten,Cabai,34466.0
2021-09-06,Banten,Cabai,35250.0
2021-09-07,Banten,Cabai,35390.0
2021-09-08,Banten,Cabai,34740.0
2021-09-09,Banten,Cabai,35128.0
2021-09-10,Banten,Cabai,36089.0
2021-09-11,Banten,Cabai,36535.0
2021-09-12,Banten,Cabai,35771.0
2021-09-13,Banten,Cabai,35501.0
2021-09-14,Banten,Cabai,36064.0
2021-09-15,Banten,Cabai,35692.0
2021-09-16,Banten,Cabai,35869.0
2021-09-17,Banten,Cabai,36205.0
2021-09-18,Banten,Cabai,35735.0
2021-09-19,Banten,Cabai,35679.0
2021-09-20,Banten,Cabai,34114.0
2021-09-21,Banten,Cabai,33604.0
2021-09-22,Banten,Cabai,33463.0
2021-09-23,Banten,Cabai,32852.0
2021-09-24,Banten,Cabai,33610.0
2021-09-25,Banten,Cabai,32916.0
2021-09-26,Banten,Cabai,32695.0
2021-09-27,Banten,Cabai,32747.0
2021-09-28,Banten,Cabai,33424.0
2021-09-29,Banten,Cabai,32736.0
2021-09-30,Banten,Cabai,33285.0
2021-10-01,Banten,Cabai,33289.0
2021-10-02,Banten,Cabai,32824.0
2021-10-03,Banten,Cabai,33047.0
2021-10-04,Banten,Cabai,33147.0
2021-10-05,Banten,Cabai,32869.0
2021-10-06,Banten,Cabai,32912.0
2021-10-07,Banten,Cabai,32741.0
2021-10-08,Banten,Cabai,32810.0
2021-10-09,Banten,Cabai,33141.0
2021-10-10,Banten,Cabai,33913.0
2021-10-11,Banten,Cabai,33346.0
2021-10-12,Banten,Cabai,34382.0
2021-10-13,Banten,Cabai,33480.0
2021-10-14,Banten,Cabai,33436.0
2021-10-15,Banten,Cabai,33745.0
2021-10-16,Banten,Cabai,33910.0
2021-10-17,Banten,Cabai,33648.0
2021-10-18,Banten,Cabai,33585.0
2021-10-19,Banten,Cabai,33390.0
2021-10-20,Banten,Cabai,33150.0
2021-10-21,Banten,Cabai,33596.0
2021-10-22,Banten,Cabai,33810.0
2021-10-23,Banten,Cabai,33528.0
2021-10-24,Banten,Cabai,34004.0
2021-10-25,Banten,Cabai,34201.0
2021-10-26,Banten,Cabai,34640.0
2021-10-27,Banten,Cabai,34994.0
2021-10-28,Banten,Cabai,34657.0
2021-10-29,Banten,Cabai,34450.0
2021-10-30,Banten,Cabai,34865.0
2021-10-31,Banten,Cabai,35218.0
2021-11-01,Banten,Cabai,35273.0
2021-11-02,Banten,Cabai,35396.0
2021-11-03,Banten,Cabai,36071.0
2021-11-04,Banten,Cabai,35861.0
2021-11-05,Banten,Cabai,36193.0
2021-11-06,Banten,Cabai,36171.0
2021-11-07,Banten,Cabai,36144.0
2021-11-08,Banten,Cabai,36744.0
2021-11-09,Banten,Cabai,37216.0
2021-11-10,Banten,Cabai,37683.0
2021-11-11,Banten,Cabai,38387.0
2021-11-12,Banten,Cabai,38482.0
2021-11-13,Banten,Cabai,38892.0
2021-11-14,Banten,Cabai,38833.0
2021-11-15,Banten,Cabai,39077.0
2021-11-16,Banten,Cabai,39106.0
2021-11-17,Banten,Cabai,39246.0
2021-11-18,Banten,Cabai,39623.0
2021-11-19,Banten,Cabai,39331.0
2021-11-20,Banten,Cabai,40422.0
2021-11-21,Banten,Cabai,40043.0
2021-11-22,Banten,Cabai,39567.0
2021-11-23,Banten,Cabai,40219.0
2021-11-24,Banten,Cabai,40699.0
2021-11-25,Banten,Cabai,41100.0
2021-11-26,Banten,Cabai,41505.0
2021-11-27,Banten,Cabai,41606.0
2021-11-28,Banten,Cabai,41289.0
2021-11-29,Banten,Cabai,41434.0
2021-11-30,Banten,Cabai,41224.0
2021-12-01,Banten,Cabai,41799.0
2021-12-02,Banten,Cabai,41843.0
2021-12-03,Banten,Cabai,41565.0
2021-12-04,Banten,Cabai,41528.0
2021-12-05,Banten,Cabai,41841.0
2021-12-06,Banten,Cabai,41691.0
2021-12-07,Banten,Cabai,41419.0
2021-12-08,Banten,Cabai,41654.0
2021-12-09,Banten,Cabai,41891.0
2021-12-10,Banten,Cabai,41771.0
2021-12-11,Banten,Cabai,41669.0
2021-12-12,Banten,Cabai,41903.0
2021-12-13,Banten,Cabai,41338.0
2021-12-14,Banten,Cabai,40794.0
2021-12-15,Banten,Cabai,40578.0
2021-12-16,Banten,Cabai,40602.0
2021-12-17,Banten,Cabai,40876.0
2021-12-18,Banten,Cabai,41704.0
2021-12-19,Banten,Cabai,42239.0
2021-12-20,Banten,Cabai,42291.0
2021-12-21,Banten,Cabai,42410.0
2021-12-22,Banten,Cabai,42063.0
2021-12-23,Banten,Cabai,42183.0
2021-12-24,Banten,Cabai,42176.0
2021-12-25,Banten,Cabai,42459.0
2021-12-26,Banten,Cabai,42196.0
2021-12-27,Banten,Cabai,42573.0
2021-12-28,Banten,Cabai,43432.0
2021-12-29,Banten,Cabai,43511.0
2021-12-30,Banten,Cabai,43832.0
2021-12-31,Banten,Cabai,44291.0
2022-01-01,Banten,Cabai,44232.0
2022-01-02,Banten,Cabai,44469.0
2022-01-03,Banten,Cabai,44606.0
2022-01-04,Banten,Cabai,44783.0
2022-01-05,Banten,Cabai,44547.0
2022-01-06,Banten,Cabai,44689.0
2022-01-07,Banten,Cabai,45056.0
2022-01-08,Banten,Cabai,45876.0
2022-01-09,Banten,Cabai,46462.0
2022-01-10,Banten,Cabai,47614.0
2022-01-11,Banten,Cabai,47379.0
2022-01-12,Banten,Cabai,47922.0
2022-01-13,Banten,Cabai,48138.0
2022-01-14,Banten,Cabai,49306.0
2022-01-15,Banten,Cabai,49050.0
2022-01-16,Banten,Cabai,48778.0
2022-01-17,Banten,Cabai,48620.0
2022-01-18,Banten,Cabai,47737.0
2022-01-19,Banten,Cabai,47613.0
2022-01-20,Banten,Cabai,47377.0
2022-01-21,Banten,Cabai,47573.0
2022-01-22,Banten,Cabai,47858.0
2022-01-23,Banten,Cabai,48872.0
2022-01-24,Banten,Cabai,49445.0
2022-01-25,Banten,Cabai,49292.0
2022-01-26,Banten,Cabai,48985.0
2022-01-27,Banten,Cabai,49338.0
2022-01-28,Banten,Cabai,48829.0
2022-01-29,Banten,Cabai,49816.0
2022-01-30,Banten,Cabai,50492.0
2022-01-31,Banten,Cabai,50384.0
2022-02-01,Banten,Cabai,49684.0
2022-02-02,Banten,Cabai,50440.0
2022-02-03,Banten,Cabai,50498.0
2022-02-04,Banten,Cabai,51196.0
2022-02-05,Banten,Cabai,50548.0
2022-02-06,Banten,Cabai,50371.0
2022-02-07,Banten,Cabai,50481.0
2022-02-08,Banten,Cabai,50608.0
2022-02-09,Banten,Cabai,50499.0
2022-02-10,Banten,Cabai,50897.0
2022-02-11,Banten,Cabai,50491.0
2022-02-12,Banten,Cabai,50524.0
2022-02-13,Banten,Cabai,50679.0
2022-02-14,Banten,Cabai,51020.0
2022-02-15,Banten,Cabai,51454.0
2022-02-16,Banten,Cabai,51013.0
2022-02-17,Banten,Cabai,50377.0
2022-02-18,Banten,Cabai,51075.0
2022-02-19,Banten,Cabai,51322.0
2022-02-20,Banten,Cabai,51053.0
2022-02-21,Banten,Cabai,51876.0
2022-02-22,Banten,Cabai,52015.0
2022-02-23,Banten,Cabai,52657.0
2022-02-24,Banten,Cabai,52770.0
2022-02-25,Banten,Cabai,53828.0
2022-02-26,Banten,Cabai,54739.0
2022-02-27,Banten,Cabai,54695.0
2022-02-28,Banten,Cabai,55230.0
2022-03-01,Banten,Cabai,55608.0
2022-03-02,Banten,Cabai,56328.0
2022-03-03,Banten,Cabai,55937.0
2022-03-04,Banten,Cabai,56329.0
2022-03-05,Banten,Cabai,56896.0
2022-03-06,Banten,Cabai,56122.0
2022-03-07,Banten,Cabai,55620.0
2022-03-08,Banten,Cabai,54709.0
2022-03-09,Banten,Cabai,54637.0
2022-03-10,Banten,Cabai,55032.0
2022-03-11,Banten,Cabai,55797.0
2022-03-12,Banten,Cabai,55882.0
2022-03-13,Banten,Cabai,56704.0
2022-03-14,Banten,Cabai,56094.0
2022-03-15,Banten,Cabai,55328.0
2022-03-16,Banten,Cabai,55343.0
2022-03-17,Banten,Cabai,55565.0
2022-03-18,Banten,Cabai,55587.0
2022-03-19,Banten,Cabai,54640.0
2022-03-20,Banten,Cabai,54630.0
2022-03-21,Banten,Cabai,54042.0
2022-03-22,Banten,Cabai,54388.0
2022-03-23,Banten,Cabai,54589.0
2022-03-24,Banten,Cabai,54167.0
2022-03-25,Banten,Cabai,53944.0
2022-03-26,Banten,Cabai,53461.0
2022-03-27,Banten,Cabai,53449.0
2022-03-28,Banten,Cabai,53918.0
2022-03-29,Banten,Cabai,53463.0
2022-03-30,Banten,Cabai,53714.0
2022-03-31,Banten,Cabai,53471.0
2022-04-01,Banten,Cabai,53100.0
2022-04-02,Banten,Cabai,53054.0
2022-04-03,Banten,Cabai,52564.0
2022-04-04,Banten,Cabai,52301.0
2022-04-05,Banten,Cabai,51730.0
2022-04-06,Banten,Cabai,52659.0
2022-04-07,Banten,Cabai,52669.0
2022-04-08,Banten,Cabai,52327.0
2022-04-09,Banten,Cabai,52418.0
2022-04-10,Banten,Cabai,52351.0
2022-04-11,Banten,Cabai,52231.0
2022-04-12,Banten,Cabai,52505.0
2022-04-13,Banten,Cabai,52845.0
2022-04-14,Banten,Cabai,52570.0
2022-04-15,Banten,Cabai,52273.0
2022-04-16,Banten,Cabai,52115.0
2022-04-17,Banten,Cabai,50993.0
2022-04-18,Banten,Cabai,50243.0
2022-04-19,Banten,Cabai,50859.0
2022-04-20,Banten,Cabai,51606.0
2022-04-21,Banten,Cabai,51450.0
2022-04-22,Banten,Cabai,51685.0
2022-04-23,Banten,Cabai,51791.0
2022-04-24,Banten,Cabai,53210.0
2022-04-25,Banten,Cabai,53696.0
2022-04-26,Banten,Cabai,53588.0
2022-04-27,Banten,Cabai,53085.0
2022-04-28,Banten,Cabai,52270.0
2022-04-29,Banten,Cabai,52313.0
2022-04-30,Banten,Cabai,51898.0
2022-05-01,Banten,Cabai,51165.0
2022-05-02,Banten,Cabai,50798.0
2022-05-03,Banten,Cabai,50223.0
2022-05-04,Banten,Cabai,50961.0
2022-05-05,Banten,Cabai,51314.0
2022-05-06,Banten,Cabai,51243.0
2022-05-07,Banten,Cabai,51877.0
2022-05-08,Banten,Cabai,51843.0
2022-05-09,Banten,Cabai,51361.0
2022-05-10,Banten,Cabai,52010.0
2022-05-11,Banten,Cabai,52189.0
2022-05-12,Banten,Cabai,51618.0
2022-05-13,Banten,Cabai,51448.0
2022-05-14,Banten,Cabai,50951.0
2022-05-15,Banten,Cabai,50211.0
2022-05-16,Banten,Cabai,50566.0
2022-05-17,Banten,Cabai,51386.0
2022-05-18,Banten,Cabai,50634.0
2022-05-19,Banten,Cabai,50812.0
2022-05-20,Banten,Cabai,50411.0
2022-05-21,Banten,Cabai,50087.0
2022-05-22,Banten,Cabai,49712.0
2022-05-23,Banten,Cabai,49205.0
2022-05-24,Banten,Cabai,49131.0
2022-05-25,Banten,Cabai,48638.0
2022-05-26,Banten,Cabai,48667.0
2022-05-27,Banten,Cabai,48542.0
2022-05-28,Banten,Cabai,48326.0
2022-05-29,Banten,Cabai,47791.0
2022-05-30,Banten,Cabai,47411.0
2022-05-31,Banten,Cabai,47664.0
2022-06-01,Banten,Cabai,47794.0
2022-06-02,Banten,Cabai,47221.0
2022-06-03,Banten,Cabai,47159.0
2022-06-04,Banten,Cabai,47405.0
2022-06-05,Banten,Cabai,46500.0
2022-06-06,Banten,Cabai,46645.0
2022-06-07,Banten,Cabai,46216.0
2022-06-08,Banten,Cabai,46372.0
2022-06-09,Banten,Cabai,45894.0
2022-06-10,Banten,Cabai,44920.0
2022-06-11,Banten,Cabai,44029.0
2022-06-12,Banten,Cabai,43934.0
2022-06-13,Banten,Cabai,43938.0
2022-06-14,Banten,Cabai,43388.0
2022-06-15,Banten,Cabai,43571.0
2022-06-16,Banten,Cabai,42661.0
2022-06-17,Banten,Cabai,42507.0
2022-06-18,Banten,Cabai,41810.0
2022-06-19,Banten,Cabai,41377.0
2022-06-20,Banten,Cabai,41276.0
2022-06-21,Banten,Cabai,40743.0
2022-06-22,Banten,Cabai,40436.0
2022-06-23,Banten,Cabai,40789.0
2022-06-24,Banten,Cabai,40389.0
2022-06-25,Banten,Cabai,40661.0
2022-06-26,Banten,Cabai,39998.0
2022-06-27,Banten,Cabai,40123.0
2022-06-28,Banten,Cabai,40682.0
2022-06-29,Banten,Cabai,39381.0
2022-06-30,Banten,Cabai,38876.0
2022-07-01,Banten,Cabai,39023.0
2022-07-02,Banten,Cabai,38800.0
2022-07-03,Banten,Cabai,38849.0
2022-07-04,Banten,Cabai,38435.0
2022-07-05,Banten,Cabai,38349.0
2022-07-06,Banten,Cabai,38148.0
2022-07-07,Banten,Cabai,38576.0
2022-07-08,Banten,Cabai,38570.0
2022-07-09,Banten,Cabai,38604.0
2022-07-10,Banten,Cabai,38283.0
2022-07-11,Banten,Cabai,37925.0
2022-07-12,Banten,Cabai,37594.0
2022-07-13,Banten,Cabai,37656.0
2022-07-14,Banten,Cabai,37331.0
2022-07-15,Banten,Cabai,37344.0
2022-07-16,Banten,Cabai,38206.0
2022-07-17,Banten,Cabai,38497.0
2022-07-18,Banten,Cabai,38219.0
2022-07-19,Banten,Cabai,38667.0
2022-07-20,Banten,Cabai,38351.0
2022-07-21,Banten,Cabai,37262.0
2022-07-22,Banten,Cabai,36663.0
2022-07-23,Banten,Cabai,35654.0
2022-07-24,Banten,Cabai,35368.0
2022-07-25,Banten,Cabai,35259.0
2022-07-26,Banten,Cabai,35938.0
2022-07-27,Banten,Cabai,35977.0
2022-07-28,Banten,Cabai,35757.0
2022-07-29,Banten,Cabai,36036.0
2022-07-30,Banten,Cabai,34872.0
2022-07-31,Banten,Cabai,34872.0
2022-08-01,Banten,Cabai,35126.0
2022-08-02,Banten,Cabai,34313.0
2022-08-03,Banten,Cabai,34747.0
2022-08-04,Banten,Cabai,34799.0
2022-08-05,Banten,Cabai,34495.0
2022-08-06,Banten,Cabai,34689.0
2022-08-07,Banten,Cabai,35663.0
2022-08-08,Banten,Cabai,35646.0
2022-08-09,Banten,Cabai,35662.0
2022-08-10,Banten,Cabai,35342.0
2022-08-11,Banten,Cabai,34839.0
2022-08-12,Banten,Cabai,35135.0
2022-08-13,Banten,Cabai,34632.0
2022-08-14,Banten,Cabai,34571.0
2022-08-15,Banten,Cabai,34250.0
2022-08-16,Banten,Cabai,34385.0
2022-08-17,Banten,Cabai,34453.0
2022-08-18,Banten,Cabai,34856.0
2022-08-19,Banten,Cabai,34526.0
2022-08-20,Banten,Cabai,34312.0
2022-08-21,Banten,Cabai,33763.0
2022-08-22,Banten,Cabai,33469.0
2022-08-23,Banten,Cabai,33567.0
2022-08-24,Banten,Cabai,33847.0
2022-08-25,Banten,Cabai,33331.0
2022-08-26,Banten,Cabai,33669.0
2022-08-27,Banten,Cabai,34238.0
2022-08-28,Banten,Cabai,34362.0
2022-08-29,Banten,Cabai,35183.0
2022-08-30,Banten,Cabai,34747.0
2022-08-31,Banten,Cabai,34089.0
2022-09-01,Banten,Cabai,33179.0
2022-09-02,Banten,Cabai,33827.0
2022-09-03,Banten,Cabai,34077.0
2022-09-04,Banten,Cabai,33991.0
2022-09-05,Banten,Cabai,34067.0
2022-09-06,Banten,Cabai,33477.0
2022-09-07,Banten,Cabai,34586.0
2022-09-08,Banten,Cabai,34596.0
2022-09-09,Banten,Cabai,34599.0
2022-09-10,Banten,Cabai,34897.0
2022-09-11,Banten,Cabai,35080.0
2022-09-12,Banten,Cabai,35144.0
2022-09-13,Banten,Cabai,34727.0
2022-09-14,Banten,Cabai,34912.0
2022-09-15,Banten,Cabai,35770.0
2022-09-16,Banten,Cabai,36374.0
2022-09-17,Banten,Cabai,37099.0
2022-09-18,Banten,Cabai,36826.0
2022-09-19,Banten,Cabai,36327.0
2022-09-20,Banten,Cabai,36242.0
2022-09-21,Banten,Cabai,36244.0
2022-09-22,Banten,Cabai,36743.0
2022-09-23,Banten,Cabai,35919.0
2022-09-24,Banten,Cabai,36629.0
2022-09-25,Banten,Cabai,36538.0
2022-09-26,Banten,Cabai,36323.0
2022-09-27,Banten,Cabai,35832.0
2022-09-28,Banten,Cabai,35037.0
2022-09-29,Banten,Cabai,35422.0
2022-09-30,Banten,Cabai,35453.0
2022-10-01,Banten,Cabai,34838.0
2022-10-02,Banten,Cabai,34224.0
2022-10-03,Banten,Cabai,34067.0
2022-10-04,Banten,Cabai,34865.0
2022-10-05,Banten,Cabai,34748.0
2022-10-06,Banten,Cabai,34044.0
2022-10-07,Banten,Cabai,33939.0
2022-10-08,Banten,Cabai,33823.0
2022-10-09,Banten,Cabai,32558.0
2022-10-10,Banten,Cabai,32550.0
2022-10-11,Banten,Cabai,32461.0
2022-10-12,Banten,Cabai,32814.0
2022-10-13,Banten,Cabai,33717.0
2022-10-14,Banten,Cabai,34279.0
2022-10-15,Banten,Cabai,34181.0
2022-10-16,Banten,Cabai,33686.0
2022-10-17,Banten,Cabai,34942.0
2022-10-18,Banten,Cabai,35006.0
2022-10-19,Banten,Cabai,35050.0
2022-10-20,Banten,Cabai,35079.0
2022-10-21,Banten,Cabai,35215.0
2022-10-22,Banten,Cabai,35190.0
2022-10-23,Banten,Cabai,34964.0
2022-10-24,Banten,Cabai,34752.0
2022-10-25,Banten,Cabai,34787.0
2022-10-26,Banten,Cabai,34581.0
